/Pdrop X,/Pdrop Y
1.280510000000014e-06,2.664158840468561e-14
1.280511000000014e-06,2.6666039606347e-14
1.280512000000014e-06,2.669053688200682e-14
1.280513000000014e-06,2.67150803312608e-14
1.280514000000014e-06,2.673967005397723e-14
1.280515000000014e-06,2.676430615030406e-14
1.280516000000014e-06,2.678898872067324e-14
1.280517000000014e-06,2.681371786578492e-14
1.280518000000014e-06,2.683849368661867e-14
1.280519000000014e-06,2.686331628444347e-14
1.280520000000014e-06,2.688818576079899e-14
1.280521000000014e-06,2.691310221750992e-14
1.280522000000014e-06,2.69380657566862e-14
1.280523000000014e-06,2.69630764807184e-14
1.280524000000014e-06,2.698813449227881e-14
1.280525000000015e-06,2.701323989433459e-14
1.280526000000015e-06,2.70383927901201e-14
1.280527000000015e-06,2.706359328318087e-14
1.280528000000015e-06,2.708884147732927e-14
1.280529000000015e-06,2.71141374766882e-14
1.280530000000015e-06,2.713948138564032e-14
1.280531000000015e-06,2.716487330889358e-14
1.280532000000015e-06,2.719031335141885e-14
1.280533000000015e-06,2.721580161849803e-14
1.280534000000015e-06,2.724133821568946e-14
1.280535000000015e-06,2.726692324887166e-14
1.280536000000015e-06,2.729255682419109e-14
1.280537000000015e-06,2.731823904810435e-14
1.280538000000015e-06,2.73439700273745e-14
1.280539000000015e-06,2.736974986903806e-14
1.280540000000015e-06,2.739557868045567e-14
1.280541000000015e-06,2.742145656927043e-14
1.280542000000015e-06,2.744738364343323e-14
1.280543000000015e-06,2.747336001120216e-14
1.280544000000015e-06,2.749938578113443e-14
1.280545000000015e-06,2.752546106209147e-14
1.280546000000015e-06,2.755158596323379e-14
1.280547000000015e-06,2.757776059403771e-14
1.280548000000015e-06,2.7603985064279e-14
1.280549000000015e-06,2.763025948404869e-14
1.280550000000015e-06,2.765658396373658e-14
1.280551000000015e-06,2.768295861406283e-14
1.280552000000015e-06,2.770938354603063e-14
1.280553000000015e-06,2.773585887097448e-14
1.280554000000015e-06,2.776238470054017e-14
1.280555000000015e-06,2.778896114668149e-14
1.280556000000015e-06,2.781558832167356e-14
1.280557000000015e-06,2.784226633810412e-14
1.280558000000015e-06,2.786899530887209e-14
1.280559000000015e-06,2.789577534720856e-14
1.280560000000015e-06,2.79226065666548e-14
1.280561000000016e-06,2.794948908107235e-14
1.280562000000016e-06,2.797642300464689e-14
1.280563000000016e-06,2.800340845188663e-14
1.280564000000016e-06,2.803044553762633e-14
1.280565000000016e-06,2.805753437701231e-14
1.280566000000016e-06,2.808467508553556e-14
1.280567000000016e-06,2.811186777899249e-14
1.280568000000016e-06,2.813911257352567e-14
1.280569000000016e-06,2.816640958559865e-14
1.280570000000016e-06,2.819375893200238e-14
1.280571000000016e-06,2.822116072986319e-14
1.280572000000016e-06,2.824861509664105e-14
1.280573000000016e-06,2.827612215012583e-14
1.280574000000016e-06,2.830368200843252e-14
1.280575000000016e-06,2.833129479003223e-14
1.280576000000016e-06,2.835896061371666e-14
1.280577000000016e-06,2.838667959861861e-14
1.280578000000016e-06,2.841445186420759e-14
1.280579000000016e-06,2.844227753030627e-14
