g0_dB (T=35) X,g0_dB (T=35) Y,g0_dB (T=55) X,g0_dB (T=55) Y,g0_dB (T=70) X,g0_dB (T=70) Y,g0_dB (T=80) X,g0_dB (T=80) Y
1.29862999999943e-06,11.75302127090121,1.29862999999943e-06,10.42346053315057,1.29862999999943e-06,8.941958971097247,1.29862999999943e-06,7.65465897044364
1.29863499999943e-06,11.75271458937283,1.29863499999943e-06,10.42344750797542,1.29863499999943e-06,8.942184461073717,1.29863499999943e-06,7.655014275407297
1.29863999999943e-06,11.75240773273432,1.29863999999943e-06,10.42343430813077,1.29863999999943e-06,8.942409814378228,1.29863999999943e-06,7.6553694830704
1.29864499999943e-06,11.75210070102431,1.29864499999943e-06,10.42342093361819,1.29864499999943e-06,8.94263503098891,1.29864499999943e-06,7.655724593406714
1.29864999999943e-06,11.75179349428149,1.29864999999943e-06,10.4234073844393,1.29864999999943e-06,8.942860110883865,1.29864999999943e-06,7.656079606389952
1.29865499999943e-06,11.75148611254452,1.29865499999943e-06,10.42339366059574,1.29865499999943e-06,8.943085054041244,1.29865499999943e-06,7.65643452199388
1.29865999999943e-06,11.75117855585209,1.29865999999943e-06,10.42337976208916,1.29865999999943e-06,8.943309860439195,1.29865999999943e-06,7.656789340192253
1.29866499999943e-06,11.75087082424292,1.29866499999943e-06,10.42336568892125,1.29866499999943e-06,8.943534530055873,1.29866499999943e-06,7.657144060958823
1.29866999999943e-06,11.75056291775572,1.29866999999943e-06,10.42335144109369,1.29866999999943e-06,8.94375906286945,1.29866999999943e-06,7.657498684267347
1.29867499999943e-06,11.75025483642922,1.29867499999943e-06,10.42333701860821,1.29867499999943e-06,8.943983458858114,1.29867499999943e-06,7.6578532100916
1.29867999999943e-06,11.7499465803022,1.29867999999943e-06,10.42332242146655,1.29867999999943e-06,8.944207718000035,1.29867999999943e-06,7.658207638405311
1.298684999999429e-06,11.74963814941342,1.298684999999429e-06,10.42330764967046,1.298684999999429e-06,8.944431840273426,1.298684999999429e-06,7.658561969182257
1.298689999999429e-06,11.74932954380168,1.298689999999429e-06,10.42329270322174,1.298689999999429e-06,8.944655825656497,1.298689999999429e-06,7.658916202396204
1.298694999999429e-06,11.74902076350575,1.298694999999429e-06,10.42327758212218,1.298694999999429e-06,8.944879674127472,1.298694999999429e-06,7.659270338020918
1.298699999999429e-06,11.74871180856445,1.298699999999429e-06,10.42326228637361,1.298699999999429e-06,8.945103385664593,1.298699999999429e-06,7.659624376030186
1.298704999999429e-06,11.74840267901664,1.298704999999429e-06,10.42324681597788,1.298704999999429e-06,8.945326960246085,1.298704999999429e-06,7.659978316397744
1.298709999999429e-06,11.74809337490116,1.298709999999429e-06,10.42323117093684,1.298709999999429e-06,8.945550397850209,1.298709999999429e-06,7.660332159097384
1.298714999999429e-06,11.74778389625685,1.298714999999429e-06,10.4232153512524,1.298714999999429e-06,8.945773698455232,1.298714999999429e-06,7.660685904102879
1.298719999999429e-06,11.74747424312262,1.298719999999429e-06,10.42319935692645,1.298719999999429e-06,8.945996862039433,1.298719999999429e-06,7.661039551388008
1.298724999999429e-06,11.74716441553732,1.298724999999429e-06,10.42318318796093,1.298724999999429e-06,8.946219888581105,1.298724999999429e-06,7.661393100926568
1.298729999999429e-06,11.7468544135399,1.298729999999429e-06,10.42316684435779,1.298729999999429e-06,8.946442778058525,1.298729999999429e-06,7.661746552692304
1.298734999999429e-06,11.74654423716928,1.298734999999429e-06,10.42315032611899,1.298734999999429e-06,8.94666553045001,1.298734999999429e-06,7.662099906659021
1.298739999999429e-06,11.74623388646438,1.298739999999429e-06,10.42313363324654,1.298739999999429e-06,8.946888145733885,1.298739999999429e-06,7.662453162800503
1.298744999999429e-06,11.74592336146417,1.298744999999429e-06,10.42311676574245,1.298744999999429e-06,8.947110623888472,1.298744999999429e-06,7.66280632109054
1.298749999999429e-06,11.7456126622076,1.298749999999429e-06,10.42309972360875,1.298749999999429e-06,8.947332964892125,1.298749999999429e-06,7.663159381502933
1.298754999999428e-06,11.74530178873368,1.298754999999428e-06,10.42308250684749,1.298754999999428e-06,8.947555168723172,1.298754999999428e-06,7.663512344011449
1.298759999999428e-06,11.74499074108141,1.298759999999428e-06,10.42306511546076,1.298759999999428e-06,8.947777235359988,1.298759999999428e-06,7.663865208589893
1.298764999999428e-06,11.74467951928978,1.298764999999428e-06,10.42304754945066,1.298764999999428e-06,8.947999164780944,1.298764999999428e-06,7.664217975212066
1.298769999999428e-06,11.74436812339785,1.298769999999428e-06,10.42302980881929,1.298769999999428e-06,8.948220956964422,1.298769999999428e-06,7.664570643851766
1.298774999999428e-06,11.74405655344464,1.298774999999428e-06,10.42301189356881,1.298774999999428e-06,8.948442611888828,1.298774999999428e-06,7.664923214482808
1.298779999999428e-06,11.74374480946924,1.298779999999428e-06,10.42299380370137,1.298779999999428e-06,8.948664129532544,1.298779999999428e-06,7.665275687078967
1.298784999999428e-06,11.74343289151071,1.298784999999428e-06,10.42297553921916,1.298784999999428e-06,8.948885509874,1.298784999999428e-06,7.665628061614064
1.298789999999428e-06,11.74312079960815,1.298789999999428e-06,10.42295710012437,1.298789999999428e-06,8.949106752891616,1.298789999999428e-06,7.665980338061904
1.298794999999428e-06,11.74280853380066,1.298794999999428e-06,10.42293848641924,1.298794999999428e-06,8.949327858563835,1.298794999999428e-06,7.666332516396301
1.298799999999428e-06,11.74249609412735,1.298799999999428e-06,10.42291969810601,1.298799999999428e-06,8.949548826869112,1.298799999999428e-06,7.666684596591079
1.298804999999428e-06,11.74218348062739,1.298804999999428e-06,10.42290073518695,1.298804999999428e-06,8.949769657785886,1.298804999999428e-06,7.667036578620021
1.298809999999428e-06,11.74187069333992,1.298809999999428e-06,10.42288159766434,1.298809999999428e-06,8.949990351292636,1.298809999999428e-06,7.667388462456964
1.298814999999428e-06,11.74155773230409,1.298814999999428e-06,10.42286228554048,1.298814999999428e-06,8.950210907367843,1.298814999999428e-06,7.667740248075724
1.298819999999427e-06,11.74124459755911,1.298819999999427e-06,10.42284279881772,1.298819999999427e-06,8.950431325989999,1.298819999999427e-06,7.668091935450122
1.298824999999427e-06,11.74093128914414,1.298824999999427e-06,10.42282313749841,1.298824999999427e-06,8.950651607137615,1.298824999999427e-06,7.668443524553998
1.298829999999427e-06,11.74061780709844,1.298829999999427e-06,10.4228033015849,1.298829999999427e-06,8.950871750789185,1.298829999999427e-06,7.668795015361144
1.298834999999427e-06,11.74030415146121,1.298834999999427e-06,10.42278329107961,1.298834999999427e-06,8.95109175692324,1.298834999999427e-06,7.669146407845408
1.298839999999427e-06,11.73999032227169,1.298839999999427e-06,10.42276310598493,1.298839999999427e-06,8.951311625518317,1.298839999999427e-06,7.669497701980614
1.298844999999427e-06,11.73967631956916,1.298844999999427e-06,10.42274274630331,1.298844999999427e-06,8.951531356552961,1.298844999999427e-06,7.669848897740601
1.298849999999427e-06,11.73936214339286,1.298849999999427e-06,10.42272221203719,1.298849999999427e-06,8.951750950005737,1.298849999999427e-06,7.670199995099215
1.298854999999427e-06,11.73904779378211,1.298854999999427e-06,10.42270150318907,1.298854999999427e-06,8.951970405855194,1.298854999999427e-06,7.670550994030263
1.298859999999427e-06,11.7387332707762,1.298859999999427e-06,10.42268061976143,1.298859999999427e-06,8.95218972407992,1.298859999999427e-06,7.670901894507599
1.298864999999427e-06,11.73841857441445,1.298864999999427e-06,10.4226595617568,1.298864999999427e-06,8.952408904658503,1.298864999999427e-06,7.671252696505066
1.298869999999427e-06,11.73810370473619,1.298869999999427e-06,10.42263832917771,1.298869999999427e-06,8.952627947569542,1.298869999999427e-06,7.671603399996507
1.298874999999427e-06,11.73778866178076,1.298874999999427e-06,10.42261692202672,1.298874999999427e-06,8.95284685279166,1.298874999999427e-06,7.671954004955783
1.298879999999427e-06,11.73747344558754,1.298879999999427e-06,10.42259534030642,1.298879999999427e-06,8.953065620303457,1.298879999999427e-06,7.672304511356714
